"CO=HC, H=6",,\rho=50,,,,\rho=75,,,,\rho=100,,,,\rho=300,,,
Instance,K,sHGS,avgHGS,tHGS,BST,sHGS,avgHGS,tHGS,BST,sHGS,avgHGS,tHGS,BST,sHGS,avgHGS,tHGS,BST
1n10_1,2,9302.37,9340.61,35.0,21.0,9300.22,9467.11,27.0,13.0,9300.75,9779.84,61.0,46.0,9307.1,9342.2,27.0,13.0
1n10_2,3,10748.1,10781.1,48.0,23.0,10748.1,10781.1,71.0,47.0,10747.0,11025.81,60.0,35.0,10747.1,10761.2,83.0,56.0
1n10_3,4,12063.1,12179.0,111.0,74.0,12068.9,12139.7,207.0,164.0,12091.5,12362.26,93.0,46.0,12120.6,12123.0,97.0,57.0
1n10_4,5,13464.0,13585.7,109.0,62.0,13447.4,13575.8,232.0,168.0,13504.1,13772.15,269.0,201.0,13501.0,13546.4,112.0,52.0
1n15_1,2,11572.9,11678.4,98.0,77.0,11581.8,12221.3,61.0,39.0,11579.9,12478.3,102.0,80.0,11584.3,11706.6,54.0,32.0
1n15_2,3,12497.7,12520.9,129.0,100.0,12498.0,12680.2,183.0,154.0,12486.1,12984.94,104.0,71.0,12498.1,12615.4,122.0,91.0
1n15_3,4,13380.6,13400.6,180.0,139.0,13354.8,13573.7,184.0,146.0,13368.7,13959.79,157.0,113.0,13375.3,13375.3,171.0,151.0
1n15_4,5,14410.1,14633.6,248.0,179.0,14451.0,14501.1,157.0,88.0,14424.1,14609.53,169.0,95.0,14444.4,14465.2,301.0,232.0
1n20_1,2,14242.9,14274.6,77.0,53.0,14243.8,14496.0,123.0,98.0,14238.1,15107.88,51.0,29.0,14244.7,14263.3,85.0,60.0
1n20_2,3,15650.4,15886.1,284.0,249.0,15666.6,16033.7,182.0,149.0,15639.6,16526.88,242.0,208.0,15660.0,15704.0,99.0,66.0
1n20_3,4,17289.2,17623.5,169.0,123.0,17179.3,17543.7,334.0,283.0,17300.8,18046.03,223.0,173.0,17278.2,17307.5,153.0,106.0
1n20_4,5,18742.8,18821.8,439.0,369.0,18753.1,19077.7,139.0,83.0,18743.4,19491.95,258.0,201.0,18766.7,18766.7,312.0,282.0
1n25_1,2,14474.6,15193.8,106.0,74.0,14528.2,14830.8,147.0,117.0,14585.2,15235.0,118.0,88.0,14629.7,14765.3,97.0,69.0
1n25_2,3,15510.8,16065.4,168.0,132.0,15543.3,15624.8,177.0,137.0,15577.9,15789.46,190.0,148.0,15585.0,15652.6,225.0,184.0
1n25_3,4,16453.1,16666.0,139.0,93.0,16485.0,16585.8,121.0,72.0,16519.1,16998.41,284.0,236.0,16555.2,16588.2,148.0,99.0
1n25_4,5,17391.2,17391.2,166.0,131.0,17388.4,17512.1,347.0,293.0,17471.0,17771.46,190.0,133.0,17497.1,17539.6,207.0,146.0
1n30_1,2,21516.8,22702.2,162.0,125.0,21518.0,21814.3,138.0,101.0,21514.9,22339.0,157.0,119.0,21519.6,21899.9,194.0,156.0
1n30_2,3,22876.5,23817.8,479.0,419.0,22871.1,23449.9,262.0,203.0,22841.4,23642.94,415.0,361.0,22879.6,23381.1,300.0,244.0
1n30_3,4,24380.5,24551.0,506.0,435.0,24487.4,24688.6,378.0,304.0,24428.2,25224.05,294.0,218.0,24534.1,24818.2,317.0,237.0
1n30_4,5,26173.0,26570.1,465.0,372.0,26164.8,26397.3,380.0,279.0,26099.0,26937.09,417.0,305.0,26126.3,26126.3,893.0,840.0
1n35_1,2,21072.3,21341.8,451.0,400.0,21077.6,21606.1,180.0,132.0,21067.0,21863.76,246.0,202.0,21073.4,21148.5,217.0,171.0
1n35_2,3,22234.4,22793.3,446.0,381.0,22208.1,22325.9,419.0,351.0,22192.6,22933.32,444.0,383.0,22207.1,22451.4,503.0,443.0
1n35_3,4,23432.2,23712.5,685.0,606.0,23425.0,23656.8,551.0,470.0,23420.5,24216.27,534.0,458.0,23376.9,23786.7,777.0,694.0
1n35_4,5,24696.8,24880.7,567.0,459.0,24709.9,25350.7,541.0,438.0,24661.6,25941.43,660.0,557.0,24691.1,24958.4,1262.0,1158.0
1n40_1,2,24439.6,24538.8,270.0,223.0,24464.2,24993.2,469.0,417.0,24438.5,25364.73,461.0,412.0,24679.2,24682.8,340.0,289.0
1n40_2,3,26055.0,26213.3,287.0,209.0,26068.5,26274.7,283.0,210.0,25950.2,26844.99,373.0,299.0,25980.2,26246.3,458.0,384.0
1n40_3,4,27519.3,27934.5,451.0,367.0,27525.3,27953.5,814.0,715.0,27556.0,28518.98,784.0,699.0,27520.4,28000.6,673.0,591.0
1n40_4,5,29312.9,29448.9,1014.0,884.0,29274.2,29941.4,620.0,504.0,29270.2,30211.12,281.0,163.0,29336.6,29336.6,795.0,590.0
1n45_1,2,24317.5,24749.6,314.0,250.0,24326.4,24838.1,341.0,280.0,24313.5,25275.54,289.0,225.0,24327.1,24559.5,394.0,332.0
1n45_2,3,25619.4,26691.0,690.0,602.0,25622.8,26115.8,388.0,293.0,25610.1,26188.04,697.0,629.0,25634.1,25732.5,480.0,396.0
1n45_3,4,27080.8,27247.5,546.0,447.0,27060.3,27140.4,433.0,322.0,27023.7,27587.7,655.0,552.0,27004.6,27417.4,692.0,598.0
1n45_4,5,28617.8,28984.0,948.0,818.0,28625.2,29067.5,535.0,423.0,28546.8,29435.15,657.0,536.0,28592.1,28761.4,991.0,874.0
1n50_1,2,28133.8,28304.5,288.0,219.0,28178.7,28716.0,375.0,314.0,28221.3,28982.14,529.0,468.0,28236.8,28259.2,460.0,395.0
1n50_2,3,29922.2,30603.7,501.0,406.0,29931.2,30412.2,517.0,424.0,29910.1,30646.74,520.0,430.0,29957.5,30052.9,413.0,320.0
1n50_3,4,32083.2,32427.0,668.0,530.0,32122.4,32750.3,433.0,285.0,32185.4,33098.95,522.0,384.0,32169.2,32454.0,466.0,335.0
1n50_4,5,34126.9,34534.8,587.0,402.0,34279.5,34980.7,740.0,592.0,34172.7,35596.06,513.0,338.0,34274.8,34748.7,824.0,660.0
2n10_1,2,9211.08,9396.73,41.0,26.0,9245.58,9402.84,33.0,19.0,9280.71,9881.23,49.0,31.0,9304.26,9304.26,55.0,39.0
2n10_2,3,10775.6,10775.6,88.0,64.0,10875.0,11422.9,91.0,66.0,10945.2,11568.09,65.0,40.0,11046.7,11052.3,83.0,57.0
2n10_3,4,12656.6,12849.0,93.0,60.0,12681.4,12685.4,109.0,70.0,12681.9,12921.01,74.0,36.0,12682.8,12684.8,123.0,83.0
2n10_4,5,14209.1,14238.3,114.0,68.0,14220.5,14402.4,204.0,157.0,14245.7,14566.21,119.0,65.0,14405.5,14423.3,130.0,65.0
2n15_1,2,11552.4,11746.6,78.0,58.0,11552.4,11687.1,59.0,39.0,11553.8,12063.32,63.0,41.0,11552.4,11631.8,37.0,15.0
2n15_2,3,12482.9,12564.1,133.0,104.0,12493.0,12525.6,154.0,124.0,12519.2,12896.91,168.0,138.0,12519.3,12533.4,174.0,143.0
2n15_3,4,13597.3,13597.3,174.0,155.0,13586.2,13898.9,104.0,64.0,13583.3,14159.81,106.0,63.0,13603.6,13622.4,106.0,65.0
2n15_4,5,14477.8,14599.4,246.0,186.0,14468.4,14613.2,250.0,191.0,14480.1,14708.03,215.0,150.0,14476.6,14482.9,404.0,340.0
2n20_1,2,13603.2,13844.8,94.0,65.0,13593.3,13706.7,111.0,82.0,13596.9,13845.19,105.0,76.0,13604.6,13653.4,66.0,40.0
2n20_2,3,14128.4,14267.2,156.0,125.0,14128.4,14154.6,159.0,128.0,14132.6,14480.59,161.0,125.0,14128.4,14161.7,116.0,87.0
2n20_3,4,14805.9,14820.6,182.0,141.0,14805.7,15082.2,212.0,171.0,14809.1,15253.85,169.0,128.0,14807.7,14808.0,222.0,182.0
2n20_4,5,15506.3,15510.6,256.0,201.0,15500.3,15506.6,251.0,198.0,15492.5,15817.04,246.0,198.0,15515.4,15520.6,257.0,208.0
2n25_1,2,16094.7,16178.6,233.0,200.0,16091.5,16109.4,219.0,186.0,16092.5,16839.76,112.0,77.0,16097.0,16098.8,138.0,103.0
2n25_2,3,17513.2,17758.2,214.0,176.0,17539.8,17566.8,198.0,146.0,17520.1,17885.91,254.0,204.0,17545.1,17546.5,165.0,116.0
