"CO=LC,H=6",,\rho=50,,,,\rho=75,,,,\rho=100,,,,\rho=300,,,
Instance,K,sHGS,avgHGS,tHGS,BST,sHGS,avgHGS,tHGS,BST,sHGS,avgHGS,tHGS,BST,sHGS,avgHGS,tHGS,BST
1n10_1,2,4064.86,4065.79,5.0,1.0,5142.12,5400.15,16.0,8.0,5366.02,5962.71,29.0,18.0,5598.78,5607.83,25.0,12.0
1n10_2,3,4074.49,4082.95,6.0,1.0,5560.23,5575.92,8.0,1.0,6551.44,6840.99,39.0,27.0,7049.63,7061.13,68.0,46.0
1n10_3,4,4093.9,4093.9,10.0,1.0,5614.4,5614.4,9.0,1.0,6997.33,7050.04,22.0,8.0,8349.04,8359.93,135.0,105.0
1n10_4,5,4124.5,4124.5,10.0,1.0,5660.0,5660.0,13.0,1.0,7098.77,7098.77,18.0,4.0,9763.21,9787.6,120.0,78.0
1n15_1,2,4405.87,4464.66,12.0,1.0,5035.46,5147.75,54.0,38.0,5193.68,5340.65,37.0,19.0,5715.63,5876.76,55.0,35.0
1n15_2,3,4571.12,4584.77,20.0,5.0,5443.25,5649.06,37.0,17.0,5943.26,6145.45,68.0,45.0,6666.8,6755.85,120.0,93.0
1n15_3,4,4729.24,4729.24,25.0,7.0,5901.92,5974.15,68.0,45.0,6572.77,6601.8,82.0,54.0,7527.54,7543.71,89.0,50.0
1n15_4,5,4920.49,4920.49,47.0,21.0,6148.84,6171.54,37.0,9.0,7110.54,7110.54,147.0,131.0,8550.84,8571.08,230.0,174.0
1n20_1,2,6224.09,6666.8,30.0,19.0,6660.47,6679.7,54.0,35.0,6892.91,7626.23,99.0,77.0,7217.85,7258.23,82.0,58.0
1n20_2,3,6979.84,7039.45,49.0,32.0,7890.4,8327.78,104.0,83.0,8160.06,8756.29,90.0,68.0,8566.94,8899.82,116.0,84.0
1n20_3,4,7002.0,7196.85,47.0,28.0,8944.6,8998.25,78.0,56.0,9522.64,9769.69,113.0,88.0,10116.4,10355.3,301.0,255.0
