"CO=HC, H=6",,\rho=50,,,\rho=75,,,\rho=100,,,\rho=300,,
Instance,Veh,sHGS,tHGS,BST,sHGS,tHGS,BST,sHGS,tHGS,BST,sHGS,tHGS,BST
1n50_1,2,28120.4,356.0,290.0,28241.4,268.0,207.0,28251.2,489.0,417.0,28256.4,507.0,433.0
1n50_2,3,29930.7,533.0,429.0,30346.5,366.0,273.0,30015.4,330.0,234.0,29963.5,321.0,225.0
1n50_3,4,32065.3,699.0,569.0,32724.0,547.0,436.0,32048.7,621.0,487.0,32145.3,538.0,401.0
1n50_4,5,34180.4,965.0,799.0,34884.6,512.0,385.0,34238.5,1262.0,1096.0,34419.0,535.0,356.0
1n100_1,2,51261.7,697.0,544.0,51835.8,812.0,636.0,51293.5,655.0,508.0,51242.6,959.0,805.0
1n100_2,3,52185.0,1627.0,1446.0,52438.0,1655.0,1381.0,52098.7,958.0,809.0,52189.7,1730.0,1557.0
1n100_3,4,53238.0,1931.0,1711.0,53854.8,1160.0,812.0,53404.6,1092.0,901.0,53408.0,1089.0,874.0
1n100_4,5,54520.6,2370.0,2123.0,55131.0,1367.0,971.0,54843.4,1076.0,829.0,54645.7,1119.0,866.0
1n200_1,2,96887.1,2400.0,2179.1,97543.7,2277.0,1659.0,96846.5,2856.0,2583.0,96904.9,2257.0,2044.0
1n200_2,3,97594.1,2400.0,2178.3,97747.6,2400.0,1918.3,97509.7,3689.0,3423.0,97647.5,2400.0,2241.6
1n200_3,4,98356.6,2400.0,2134.7,98584.6,2400.0,1678.8,98323.1,2524.0,2184.0,98315.2,2400.0,2211.5
1n200_4,5,99364.1,2400.0,2212.3,99588.3,2400.0,1738.5,99403.6,3988.0,3562.0,99188.0,2400.0,2175.6
2n50_1,2,27845.2,440.0,362.0,27988.9,502.0,440.0,27847.2,425.0,354.0,27848.3,276.0,204.0
2n50_2,3,29805.6,571.0,472.0,30159.2,483.0,395.0,29817.4,400.0,307.0,29794.8,373.0,283.0
2n50_3,4,31729.0,871.0,759.0,31869.2,513.0,399.0,31745.1,437.0,313.0,31787.2,434.0,315.0
2n50_4,5,33938.9,838.0,672.0,34360.1,459.0,330.0,34138.4,608.0,451.0,34002.0,740.0,584.0
2n100_1,2,47652.8,1090.0,946.0,47994.3,913.0,726.0,47669.7,605.0,508.0,47577.4,1297.0,1157.0
2n100_2,3,48496.8,1403.0,1213.0,48587.5,1535.0,1273.0,48452.8,1155.0,1020.0,48404.6,1699.0,1543.0
2n100_3,4,49507.2,1066.0,848.0,49778.0,1483.0,1153.0,49427.6,2174.0,1980.0,49478.0,1315.0,1111.0
2n100_4,5,50683.1,1325.0,1115.0,50802.6,1511.0,1135.0,50763.5,1267.0,1020.0,50706.6,2400.0,2026.9
2n200_1,2,98405.6,2284.0,2035.0,98328.0,2400.0,1881.4,98396.6,3446.0,3181.0,98467.2,2400.0,2212.8
2n200_2,3,98998.7,2400.0,2258.8,99207.0,2400.0,1788.7,98965.3,3837.0,3554.0,99146.2,2400.0,2146.5
2n200_3,4,99922.9,2400.0,2154.8,100013.0,2400.0,1783.9,99904.3,3244.0,2928.0,99884.6,2400.0,1851.4
2n200_4,5,101046.0,2400.0,2206.8,101301.0,2400.0,1908.1,100979.0,4037.0,3557.0,101176.0,2400.0,2187.5
3n50_1,2,27268.3,384.0,299.0,27640.7,264.0,198.0,27263.9,272.0,199.0,27286.7,308.0,238.0
3n50_2,3,28511.3,452.0,346.0,28992.3,435.0,346.0,28487.5,378.0,287.0,28552.2,422.0,328.0
3n50_3,4,29875.8,494.0,363.0,30167.4,471.0,356.0,29836.1,387.0,260.0,29895.8,785.0,664.0
3n50_4,5,31440.1,584.0,426.0,31840.9,1020.0,898.0,31314.7,791.0,640.0,31415.4,1160.0,1011.0
3n100_1,2,51999.0,1727.0,1591.0,52305.9,776.0,603.0,52039.2,860.0,730.0,52019.2,1004.0,806.0
3n100_2,3,53677.8,1804.0,1661.0,54008.0,1252.0,966.0,53685.6,1065.0,906.0,53716.3,1401.0,1249.0
3n100_3,4,55459.3,895.0,691.0,55845.7,1732.0,1379.0,55207.8,1423.0,1206.0,55231.0,1441.0,1230.0
3n100_4,5,57117.1,2080.0,1774.0,57265.8,1477.0,1105.0,57154.2,1633.0,1336.0,57070.1,1948.0,1691.0
3n200_1,2,94499.8,2400.0,2148.2,94694.0,2400.0,1785.7,94492.7,2644.0,2407.0,94486.2,2400.0,2229.4
3n200_2,3,95645.4,2400.0,2175.6,96094.2,2400.0,1878.7,95648.9,2746.0,2432.0,95645.7,2400.0,2206.1
3n200_3,4,97199.8,2400.0,2126.7,97659.5,2400.0,1661.9,97142.1,4281.0,3890.0,97131.6,2400.0,2078.7
