Detailed results on small-scaled data with CO=HC and T=3,,,,,,,,,,,,,,,,,,,
Instance,Best,sCCJ,Gap,tCCJ,sKS,Gap,tKS,BestDIMACS,sALNS,Gap,sBCHeu,Gap,,sHGS,Gapb,tHGS,BST,CostAvg,GapAvg
1n5_2,2027.75,2027.75,0.0,1.82,2027.75,0.0,0.0,2027.75,2027.75,0.0,2027.75,0.0,,2027.75,0.00,11.0,0.0,2027.75,0.0
1n5_3,2061.27,2061.39,0.01,1.84,2061.27,0.0,0.0,2061.27,2061.27,0.0,2061.27,0.0,,2061.27,0.00,15.0,0.0,2061.27,0.0
1n5_4,2234.65,2235.74,0.05,1.89,2234.65,0.0,0.0,2234.65,2234.65,0.0,2234.65,0.0,,2234.65,0.00,29.0,1.0,2234.65,0.0
1n5_5,2361.94,2430.13,2.89,1.87,2361.94,0.0,0.0,2361.94,2361.94,0.0,2361.94,0.0,,2361.94,0.00,33.0,0.0,2361.94,0.0
2n5_2,1756.39,1978.37,12.64,1.39,1756.39,0.0,0.0,1756.39,1756.39,0.0,1756.39,0.0,,1756.39,0.00,10.0,0.0,1756.39,0.0
2n5_3,2156.69,2185.48,1.33,1.61,2156.69,0.0,33.0,2156.69,2156.69,0.0,2156.69,0.0,,2156.69,0.00,28.0,0.0,2156.69,0.0
2n5_4,2386.4,2868.19,20.19,1.39,2386.4,0.0,0.0,2386.4,2386.4,0.0,2386.4,0.0,,2386.4,0.0,37.0,0.0,2386.4,0.0
2n5_5,2594.02,3021.87,16.49,1.88,2594.02,0.0,0.0,2594.02,2594.02,0.0,2594.02,0.0,,2594.02,0.00,41.0,3.0,2594.02,0.0
3n5_2,3290.7,3303.22,0.38,1.52,3290.7,0.0,31.0,3290.7,3290.7,0.0,3290.7,0.0,,3290.7,0.0,9.0,0.0,3292.27,0.05
3n5_3,3828.96,3868.52,1.03,1.54,3828.96,0.0,0.0,3828.96,3828.96,0.0,3828.96,0.0,,3828.96,0.00,31.0,5.0,3828.96,0.0
3n5_4,4445.22,4572.62,2.87,1.6,4445.22,0.0,30.0,4445.22,4445.22,0.0,4445.22,0.0,,4445.22,0.00,52.0,25.0,4445.22,0.0
3n5_5,4798.59,4800.06,0.03,1.73,4798.59,0.0,15.0,4798.59,4798.59,0.0,4798.59,0.0,,4800.06,0.03,25.0,0.0,4800.06,0.03
4n5_2,2143.15,2143.15,0.0,1.75,2143.15,0.0,0.0,2143.15,2143.15,0.0,2143.15,0.0,,2143.15,0.00,13.0,0.0,2143.15,0.0
4n5_3,2716.21,2979.79,9.7,2.21,2716.21,0.0,3.0,2716.21,2716.21,0.0,2716.21,0.0,,2716.21,0.00,31.0,31.0,2723.83,0.28
4n5_4,3052.35,3146.79,3.09,1.86,3052.35,0.0,0.0,3052.35,3052.35,0.0,3052.35,0.0,,3052.35,0.00,28.0,0.0,3052.35,0.0
4n5_5,3742.31,3813.9,1.91,1.99,3742.31,0.0,0.0,3742.31,3742.31,0.0,3742.31,0.0,,3742.31,0.00,35.0,0.0,3742.31,0.0
5n5_2,2023.74,2023.74,0.0,1.5,2023.74,0.0,0.0,2023.74,2023.74,0.0,2023.74,0.0,,2023.74,0.00,7.0,0.0,2023.74,0.0
5n5_3,2315.04,2346.18,1.35,1.21,2315.04,0.0,0.0,2315.04,2315.04,0.0,2315.04,0.0,,2315.04,0.00,20.0,0.0,2315.04,0.0
5n5_4,2475.88,2475.88,0.0,1.2,2475.88,0.0,0.0,2475.88,2475.88,0.0,2475.88,0.0,,2475.88,0.00,24.0,0.0,2475.88,0.0
5n5_5,2818.14,2818.14,0.0,1.67,2818.21,0.0,5.0,2818.21,2818.21,0.0,2818.21,0.0,,2818.21,0.00,55.0,1.0,2818.21,0.0
1n10_2,4248.38,4302.94,1.28,5.41,4248.38,0.0,79.0,4248.38,4248.38,0.0,4248.38,0.0,,4248.38,0.00,26.0,0.0,4248.38,0.0
1n10_3,4722.42,5015.94,6.22,4.72,4722.42,0.0,80.0,4722.42,4722.42,0.0,4722.42,0.0,,4722.42,0.00,38.0,1.0,4722.42,0.0
1n10_4,5237.42,5381.92,2.76,4.33,5237.42,0.0,81.0,5237.42,5237.42,0.0,5237.42,0.0,,5237.42,0.00,50.0,0.0,5237.42,0.0
1n10_5,5712.99,5917.87,3.59,3.53,5712.99,0.0,105.0,5712.99,5712.99,0.0,5712.99,0.0,,5712.99,0.00,126.0,42.0,5714.24,0.02
2n10_2,4437.85,4437.85,0.0,5.21,4437.91,0.0,7.0,4437.91,4437.91,0.0,4437.91,0.0,,4437.91,0.00,24.0,0.0,4437.91,0.0
2n10_3,5100.47,5100.47,0.0,4.06,5100.49,0.0,115.0,5100.49,5100.49,0.0,5100.49,0.0,,5100.49,0.00,42.0,0.0,5100.49,0.0
2n10_4,5896.55,6260.99,6.18,3.84,5896.55,0.0,144.0,5896.55,5896.55,0.0,5896.55,0.0,,5896.55,0.00,65.0,4.0,5896.55,0.0
2n10_5,6318.13,6666.62,5.52,3.12,6321.09,0.05,115.0,6318.13,6318.13,0.0,6318.13,0.0,,6318.13,0.00,85.0,2.0,6318.13,0.0
3n10_2,3755.23,3765.24,0.27,4.47,3755.23,0.0,2.0,3755.23,3755.23,0.0,3755.23,0.0,,3755.23,0.00,24.0,0.0,3755.23,0.0
3n10_3,4191.25,4279.55,2.11,4.63,4191.25,0.0,108.0,4191.25,4191.25,0.0,4191.25,0.0,,4191.25,0.00,39.0,0.0,4191.25,0.0
3n10_4,4510.57,4720.89,4.66,4.04,4510.57,0.0,110.0,4510.57,4510.57,0.0,4510.57,0.0,,4510.57,0.00,60.0,3.0,4510.57,0.0
3n10_5,4940.37,5086.19,2.95,3.29,4945.17,0.1,113.0,4940.37,4940.37,0.0,4940.37,0.0,,4940.37,0.00,94.0,40.0,4940.97,0.01
4n10_2,4051.83,4160.05,2.67,5.95,4051.83,0.0,89.0,4051.83,4051.83,0.0,4051.83,0.0,,4051.83,0.00,24.0,24.0,4051.83,0.0
