Detailed results on small-scaled data with CO=HC and T=6,,,,,,,,,,,,,,,,,,,
Instance,Best,sCCJ,Gap,tCCJ,sKS,Gap,tKS,DIMACS,sALNS,Gap,sBCHeu,Gap,,sHGS,Gap,tHGS,BST,CostAvg,GapAvg
1n5_2,5973.34,6128.07,2.59,3.61,5973.34,0,73,5973.34,5973.34,0.0,5973.34,0.0,,5973.34,0.0,78.0,78.0,5973.34,0.0
1n5_3,6852.36,7182.25,4.81,6.94,6852.36,0,92,6852.36,6852.36,0.0,6852.36,0.0,,6852.36,0.0,141.0,55.0,6852.46,0.0
1n5_4,7711.75,7933.74,2.88,53.59,7711.75,0,93,7711.75,7711.75,0.0,7711.75,0.0,,7711.75,0.0,213.0,213.0,7711.75,0.0
1n5_5,8636.29,9026.25,4.52,7.12,8636.29,0,101,8636.29,8636.29,0.0,8636.29,0.0,,8636.29,0.0,621.0,267.0,8636.29,0.0
2n5_2,5141.16,5473.81,6.47,3.78,5141.16,0,99,5141.16,5141.16,0.0,5141.16,0.0,,5141.16,0.0,94.0,94.0,5141.16,0.0
2n5_3,6171.42,6396.26,3.64,3.41,6171.42,0,130,6171.42,6171.42,0.0,6171.42,0.0,,6171.42,0.0,241.0,241.0,6171.42,0.0
2n5_4,7052.4,7559.15,7.19,6.35,7052.4,0,90,7052.4,7052.4,0.0,7052.4,0.0,,7052.4,0.0,275.0,275.0,7052.4,0.0
2n5_5,7939.93,8425.93,6.12,5.53,7939.93,0,128,7939.93,7939.93,0.0,7939.93,0.0,,7939.93,0.0,578.0,310.0,7946.73,0.09
3n5_2,7746.36,7815.44,0.89,4.14,7746.36,0,123,7746.36,7746.36,0.0,7746.36,0.0,,7746.36,0.0,89.0,89.0,7746.36,0.0
3n5_3,9501.22,-,-,-,9501.22,0,112,9501.22,9501.22,0.0,9501.22,0.0,,9501.22,0.0,404.0,307.0,9507.24,0.06
3n5_4,11116.59,11175.63,0.53,6.73,11121.2,0.04,90,11116.59,11116.59,0.0,11116.59,0.0,,11116.6,0.0,119.0,17.0,11116.6,0.0
3n5_5,13232.37,13593.03,2.73,5.91,13232.4,0.00,92,13232.37,13232.37,0.0,13232.37,0.0,,13232.4,0.0,358.0,194.0,13241.81,0.07
4n5_2,5419.55,5572.15,2.82,4.53,5419.55,0,71,5419.55,5419.55,0.0,5419.55,0.0,,5419.55,0.0,53.0,53.0,5419.55,0.0
4n5_3,6107.27,6469.65,5.94,4.88,6107.27,0,94,6107.27,6107.27,0.0,6107.27,0.0,,6107.27,0.0,159.0,26.0,6107.27,0.0
4n5_4,6691.25,6934.92,3.64,5.65,6691.25,0,63,6691.25,6691.25,0.0,6691.25,0.0,,6691.25,0.0,169.0,169.0,6691.25,0.0
