Detailed results on small-scaled data with CO=LC and T=3,,,,,,,,,,,,,,,,,,,
Instance,Best,sCCJ,Gap,tCCJ,sKS,Gap,tKS,BestDIMACS,sALNS,Gap,sBCHeu,Gap,,sHGS,Gapb,tHGS,BST,CostAvg,Gapavg
1n5_2,1373.41,1373.41,0.0,1.89,1373.41,0.0,0.0,1373.41,1373.41,0.0,1373.41,0.0,,1373.41,0.0,10.0,10.0,1373.41,0.0
1n5_3,1407.59,1517.65,7.82,1.59,1407.59,0.0,0.0,1407.59,1407.59,0.0,1407.59,0.0,,1407.59,0.0,14.0,14.0,1407.59,0.0
1n5_4,1578.65,1591.41,0.81,1.97,1578.65,0.0,1.0,1578.65,1578.65,0.0,1578.65,0.0,,1579.09,0.03,26.0,26.0,1579.09,0.03
1n5_5,1708.51,1781.47,4.27,1.89,1708.51,0.0,0.0,1708.51,1708.51,0.0,1708.51,0.0,,1708.51,0.0,49.0,3.0,1708.54,0.0
2n5_2,1155.91,1384.35,19.76,1.29,1155.91,0.0,0.0,1155.91,1155.91,0.0,1155.91,0.0,,1155.91,0.0,10.0,10.0,1155.91,0.0
2n5_3,1561.07,1591.9,1.97,1.56,1561.07,0.0,34.0,1561.07,1561.07,0.0,1561.07,0.0,,1561.07,0.0,20.0,0.0,1561.07,0.0
2n5_4,1791.03,2278.26,27.20,1.3,1791.03,0.0,0.0,1791.03,1791.03,0.0,1791.03,0.0,,1791.03,0.0,36.0,36.0,1791.03,0.0
2n5_5,1997.96,2440.21,22.13,1.71,1997.96,0.0,1.0,1997.96,1997.96,0.0,1997.96,0.0,,1997.96,0.0,40.0,40.0,1997.96,0.0
3n5_2,2401.33,2440.76,1.64,1.49,2401.33,0.0,30.0,2401.33,2401.33,0.0,2401.33,0.0,,2401.33,0.0,13.0,13.0,2404.72,0.14
3n5_3,2960.75,2965.03,0.14,1.46,2960.75,0.0,2.0,2960.75,2960.75,0.0,2960.75,0.0,,2960.75,0.0,32.0,32.0,2960.75,0.0
3n5_4,3567.05,3684.75,3.30,1.71,3567.05,0.0,1.0,3567.05,3567.05,0.0,3567.05,0.0,,3567.05,0.0,36.0,5.0,3567.05,0.0
3n5_5,3929.15,3945.02,0.40,1.84,3929.15,0.0,15.0,3929.15,3929.15,0.0,3929.15,0.0,,3929.15,0.0,25.0,25.0,3945.02,0.4
4n5_2,1701.71,1701.85,0.01,1.7,1701.71,0.0,0.0,1701.71,1701.71,0.0,1701.71,0.0,,1701.71,0.0,12.0,12.0,1701.71,0.0
4n5_3,2275.59,2543.04,11.75,2.19,2275.59,0.0,3.0,2275.59,2275.59,0.0,2275.59,0.0,,2275.59,0.0,30.0,30.0,2275.59,0.0
4n5_4,2616.0,2709.28,3.57,1.95,2616.0,0.0,0.0,2616.0,2616.0,0.0,2616.0,0.0,,2616.0,0.0,30.0,30.0,2616.0,0.0
4n5_5,3303.45,3376.27,2.20,1.99,3303.45,0.0,0.0,3303.45,3303.45,0.0,3303.45,0.0,,3303.45,0.0,33.0,33.0,3303.45,0.0
5n5_2,1184.74,1184.74,0.0,1.23,1184.74,0.0,0.0,1184.74,1184.74,0.0,1184.74,0.0,,1184.74,0.0,7.0,7.0,1184.74,0.0
5n5_3,1478.29,1482.07,0.26,1.18,1478.29,0.0,11.0,1478.29,1478.29,0.0,1478.29,0.0,,1478.29,0.0,23.0,23.0,1478.29,0.0
5n5_4,1640.93,1640.93,0.0,1.32,1640.93,0.0,15.0,1640.93,1640.93,0.0,1640.93,0.0,,1640.93,0.0,24.0,24.0,1640.93,0.0
5n5_5,1973.06,1973.06,0.0,1.76,1973.07,0.00,11.0,1973.07,1973.07,0.00,1973.07,0.00,,1973.07,0.0,52.0,52.0,1973.07,0.0
1n10_2,2186.79,2410.37,10.22,5.72,2186.79,0.0,74.0,2186.79,2186.79,0.0,2186.79,0.0,,2186.79,0.0,27.0,27.0,2186.79,0.0
1n10_3,2656.21,2864.06,7.83,4.49,2656.21,0.0,74.0,2656.21,2656.21,0.0,2656.21,0.0,,2656.21,0.0,39.0,39.0,2656.21,0.0
1n10_4,3185.54,3305.69,3.77,4.43,3185.54,0.0,76.0,3185.54,3185.54,0.0,3185.54,0.0,,3185.54,0.0,34.0,0.0,3185.54,0.0
