Detailed results on small-scaled data with CO=LC and T=6,,,,,,,,,,,,,,,,,,,
Instance,Best,sCCJ,Gap,tCCJ,sKS,Gap,tKS,DIMACS,sALNS,Gap,sBCHeu,Gap,,sHGS,Gap,tHGS,BST,CostAvg,GapAvg
1n5_2,3736.24,3897.62,4.32,3.55,3736.24,0,76,3736.24,3736.24,0.0,3736.24,0.0,,3736.24,0.00,41.0,1.0,3736.24,0.0
1n5_3,4617.59,5083.55,10.09,3.44,4617.59,0,65,4617.59,4617.59,0.0,4617.59,0.0,,4617.59,0.00,122.0,122.0,4617.59,0.0
1n5_4,5479.26,5703.53,4.09,9.05,5479.26,0,72,5479.26,5479.26,0.0,5479.26,0.0,,5479.26,0.00,89.0,26.0,5479.26,0.0
1n5_5,6406.12,6805.86,6.24,6.75,6406.12,0,80,6406.12,6406.12,0.0,6406.12,0.0,,6406.12,0.00,148.0,15.0,6406.12,0.0
2n5_2,3148.7,3477.82,10.45,3.31,3148.7,0,69,3148.7,3148.7,0.0,3148.7,0.0,,3148.7,0.0,94.0,94.0,3148.7,0.0
2n5_3,4184.4,4512.63,7.84,3.77,4184.98,0.01,91,4184.4,4184.4,0.0,4184.4,0.0,,4184.4,0.0,247.0,247.0,4184.47,0.0
2n5_4,5089.23,5289.93,3.94,4.88,5089.23,0,83,5089.23,5089.23,0.0,5089.23,0.0,,5089.23,0.00,271.0,271.0,5089.23,0.0
2n5_5,5972.8,6549.42,9.65,6.42,5972.8,0,117,5972.8,5972.8,0.0,5972.8,0.0,,5972.82,0.00,854.0,854.0,5973.85,0.02
3n5_2,5926.65,6090.88,2.77,4.02,5926.65,0,85,5926.65,5926.65,0.0,5926.65,0.0,,5926.65,0.00,70.0,70.0,5926.65,0.0
3n5_3,7667.42,8316.34,8.46,4.37,7667.42,0,86,7667.42,7667.42,0.0,7667.42,0.0,,7667.42,0.00,479.0,289.0,7667.82,0.01
3n5_4,9285.36,9680.22,4.25,5.51,9285.36,0,98,9285.36,9285.36,0.0,9285.36,0.0,,9285.36,0.00,161.0,161.0,9285.36,0.0
3n5_5,11439.2,11797.49,3.13,4.51,11439.2,0,57,11439.22,11439.22,0.00,11439.22,0.00,,11439.2,0.0,178.0,18.0,11439.2,0.0
4n5_2,3776.7,3928.74,4.03,4.14,3776.7,0,92,3776.7,3776.7,0.0,3776.7,0.0,,3776.7,0.0,67.0,67.0,3776.71,0.0
4n5_3,4465.87,4833.54,8.23,4.71,4465.87,0,100,4465.87,4465.87,0.0,4465.87,0.0,,4465.87,0.00,123.0,50.0,4465.91,0.0
4n5_4,5056.62,5305.66,4.93,20.7,5056.62,0,97,5056.62,5056.62,0.0,5056.62,0.0,,5056.62,0.00,169.0,169.0,5056.62,0.0
4n5_5,6255.56,6790.64,8.55,8.42,6255.56,0,135,6255.56,6255.56,0.0,6255.56,0.0,,6255.56,0.00,283.0,283.0,6255.56,0.0
5n5_2,2855.1,3015.65,5.62,4.19,2855.1,0,82,2855.1,2855.1,0.0,2855.1,0.0,,2855.1,0.0,64.0,64.0,2855.1,0.0
5n5_3,3842.3,4022.82,4.70,3.64,3842.3,0,119,3842.3,3842.3,0.0,3842.3,0.0,,3842.3,0.0,177.0,177.0,3842.3,0.0
5n5_4,4876.62,5000.45,2.54,4.39,4876.62,0,82,4876.62,4876.62,0.0,4876.62,0.0,,4876.62,0.00,240.0,240.0,4876.62,0.0
1n10_2,5599.11,6027.62,7.65,13.03,5615.14,0.29,94,5599.11,5599.11,0.0,5599.11,0.0,,5599.11,0.00,143.0,143.0,5599.11,0.0
1n10_3,7050.9,7934.38,12.53,12.07,7067.2,0.23,82,7050.9,7050.9,0.0,7050.9,0.0,,7050.9,0.0,397.0,278.0,7050.92,0.0
1n10_4,8386.57,9541.52,13.77,7.57,8463.19,0.91,97,8386.57,8386.57,0.0,8386.57,0.0,,8386.57,0.00,562.0,185.0,8406.07,0.23
1n10_5,9753.1,10804.96,10.78,7.72,9876.15,1.26,127,9753.1,9756.11,0.031,9753.1,0.0,,9753.1,0.0,1041.0,798.0,9753.1,0.0
2n10_2,6458.63,6981.12,8.09,13.26,6461.28,0.04,127,6458.63,6458.63,0.0,6458.63,0.0,,6458.63,0.00,129.0,129.0,6458.63,0.0
2n10_3,8221.94,8907.24,8.34,10.02,8222.39,0.01,148,8221.94,8221.94,0.0,8221.94,0.0,,8222.1,0.00,284.0,284.0,8222.28,0.0
2n10_4,9854.07,10977.46,11.40,8.23,9855.52,0.01,177,9854.07,9854.07,0.0,9854.07,0.0,,9854.07,0.00,202.0,105.0,9859.12,0.05
2n10_5,11577.46,12671.76,9.45,8.85,11577.5,0.00,172,11577.46,11577.63,0.0,11577.46,0.0,,11577.5,0.00,809.0,579.0,11577.62,0.0
3n10_2,5197.4,5561.94,7.01,12.01,5273.98,1.47,121,5197.4,5197.4,0.0,5197.4,0.0,,5197.4,0.0,135.0,135.0,5197.49,0.0
3n10_3,6122.25,6609.85,7.96,12.51,6122.25,0,124,6122.25,6122.25,0.0,6122.25,0.0,,6122.25,0.00,174.0,174.0,6122.25,0.0
3n10_4,7192.53,7864.49,9.34,10.71,7199.26,0.09,125,7192.53,7192.53,0.0,7192.53,0.0,,7192.53,0.00,351.0,351.0,7197.04,0.06
3n10_5,8176.58,8860.54,8.36,9.29,8287.31,1.35,141,8176.58,8176.58,0.0,8176.58,0.0,,8176.71,0.00,750.0,750.0,8180.92,0.05
4n10_2,6139.11,6469.11,5.38,15.99,6139.11,0,146,6139.11,6139.11,0.0,6139.11,0.0,,6139.11,0.00,126.0,126.0,6139.11,0.0
4n10_3,7423.9,7787.43,4.90,12.67,7424.3,0.00,132,7423.9,7423.9,0.0,7423.9,0.0,,7423.9,0.0,117.0,14.0,7423.9,0.0
4n10_4,8675.69,9449.17,8.92,11,8675.69,0,119,8675.69,8675.69,0.0,8675.69,0.0,,8675.71,0.00,527.0,527.0,8695.08,0.22
4n10_5,10021.98,11235.42,12.11,11.49,10022,0.00,149,10021.98,10029.35,0.07,10021.98,0.0,,10022.0,0.00,1090.0,1090.0,10027.96,0.06
5n10_2,5055.15,5340.76,5.65,14.99,5055.15,0,121,5055.15,5055.15,0.0,5055.15,0.0,,5055.15,0.00,183.0,183.0,5055.16,0.0
5n10_3,5741.72,6184.9,7.72,10.01,5741.72,0,122,5741.72,5741.72,0.0,5741.72,0.0,,5741.85,0.00,152.0,40.0,5741.85,0.0
5n10_4,6522.67,7215.92,10.63,9.14,6554.63,0.49,131,6522.67,6526.49,0.06,6526.49,0.06,,6522.79,0.00,475.0,475.0,6526.96,0.07
5n10_5,7325.81,7844.65,7.08,8.35,7326.68,0.01,145,7325.81,7325.81,0.0,7325.81,0.0,,7325.81,0.00,426.0,137.0,7325.81,0.0
1n15_2,5884.52,6001.04,1.98,38.85,5888,0.06,126,5884.52,5884.52,0.0,5884.52,0.0,,5886.43,0.03,275.0,162.0,5888.52,0.07
1n15_3,6758.19,6985.54,3.36,26.25,6769.71,0.17,152,6758.19,6758.45,0.0,6758.45,0.0,,6758.19,0.00,416.0,285.0,6760.05,0.03
1n15_4,7661.59,8191.78,6.92,25.28,7661.59,0,133,7661.59,7661.59,0.0,7670.67,0.12,,7661.6,0.00,545.0,357.0,7675.15,0.18
1n15_5,8659.71,9390.65,8.44,20.91,8676.02,0.19,292,8659.71,8682.74,0.27,8722.8,0.73,,8673.72,0.16,628.0,344.0,8701.03,0.48
2n15_2,6060.86,6271.17,3.47,33.02,6060.86,0,135,6060.86,6060.86,0.0,6060.86,0.0,,6060.86,0.00,190.0,190.0,6060.86,0.0
2n15_3,7005.99,7398.08,5.60,28.8,7041.68,0.51,287,7005.99,7007.08,0.02,7005.99,0.0,,7007.89,0.03,369.0,234.0,7039.16,0.47
