Detailed results on largel-scaled data with CO=LC and T=6,,,,,,,,,,,,,,,,,,
Instance,Best,sCCJ,Gap,tCCJ,sKS,Gap,tKS,DIMACS,sALNS,Gap,sBCHeu,Gap,,sHGS,Gap,tHGS,CostAvg,GapAvg
1n50_2,10971.77,11849.65,8.00,392.55,11858.4,8.08,54.0,10971.77,11007.39,0.32,10971.77,0.0,,10952.4,-0.18,2993.0,10976.09,0.04
1n50_3,12637.17,13270.15,5.01,322.7,13246.7,4.82,3089.0,12637.17,12637.17,0.00,12702.98,0.52,,12599.5,-0.3,5036.0,12608.45,-0.23
1n50_4,14596.88,15224.05,4.30,331.49,15477.9,6.04,2625.0,14596.88,15099.11,3.44,14596.88,0.0,,14649.6,0.36,5367.0,14750.07,1.05
1n50_5,16645.46,18443.15,10.80,433.35,18578.8,11.61,1311.0,16645.46,16645.46,0.00,16680.88,0.21,,16756.0,0.66,7200.0,16847.38,1.21
2n50_2,11409.04,12020.95,5.36,397.74,11848.1,3.85,171.0,11409.04,11516.07,0.94,11477.94,0.6,,11392.5,-0.14,3040.0,11394.61,-0.13
2n50_3,13298.22,14081.75,5.89,424.96,13856.2,4.20,2621.0,13298.22,13546.04,1.86,13324.86,0.2,,13167.6,-0.98,4582.0,13194.3,-0.78
2n50_4,15107.32,15724.95,4.09,401.19,15654.2,3.62,4164.0,15107.32,15254.23,0.97,15107.32,0.0,,15083.1,-0.16,7200.0,15155.85,0.32
2n50_5,17136.1,17883.65,4.36,346.93,17789.0,3.8,2301.0,17136.1,17423.79,1.68,17136.1,0.0,,17270.4,0.78,6445.0,17326.45,1.11
3n50_2,10723.19,11112.6,3.63,369.62,11401.5,6.33,41.0,10723.19,10760.53,0.35,10754.05,0.29,,10723.8,0.01,4096.0,10747.95,0.23
3n50_3,11922.95,12340.2,3.50,453.56,12806.9,7.41,4369.0,11922.95,11976.52,0.45,11922.95,0.0,,11824.5,-0.83,3582.0,11915.55,-0.06
3n50_4,13228.03,13565.1,2.54,422.5,14418.6,9.00,2644.0,13228.03,13308.05,0.60,13328.51,0.76,,13213.5,-0.11,6182.0,13324.12,0.73
3n50_5,14640.47,15202.4,3.84,683.34,15298.1,4.49,4493.0,14640.47,15249.7,4.16,14640.47,0.0,,14675.0,0.24,5652.0,14795.96,1.06
4n50_2,10810.16,11373.49,5.21,305.1,10926.9,1.08,170.0,10810.16,11189.31,3.51,11011.21,1.86,,10809.3,-0.01,2751.0,10818.02,0.07
4n50_3,12709.12,13381.29,5.29,402.39,13085.9,2.96,6886.0,12709.12,12722.21,0.10,12709.12,0.0,,12702.3,-0.05,4622.0,12725.0,0.12
4n50_4,14751.59,15412.39,4.48,326.09,15603.1,5.77,4788.0,14751.59,14751.59,0.00,14926.99,1.19,,14793.0,0.28,7143.0,14889.73,0.94
4n50_5,16794.67,17500.89,4.21,339.94,17857.7,6.33,5438.0,16794.67,17106.08,1.85,16885.56,0.54,,16813.6,0.11,6225.0,16980.44,1.11
5n50_2,10524.15,11238.5,6.79,339.21,10778.7,2.42,56.0,10524.15,10630.15,1.01,10524.15,0.0,,10526.0,0.02,2818.0,10527.3,0.03
5n50_3,12137.63,12581.5,3.66,275.56,12804.1,5.49,2580.0,12137.63,12137.63,0.00,12193.17,0.46,,12102.2,-0.29,5537.0,12167.86,0.25
5n50_4,13873.4,14485.6,4.4,338.45,14984.7,8.0,2398.0,13873.4,14371.59,3.59,13873.4,0.0,,13903.4,0.22,7200.0,13977.17,0.75
5n50_5,15554.1,16111.4,3.6,533.14,16035.8,3.1,4901.0,15554.1,16151.19,3.84,15554.1,0.0,,15731.4,1.14,5948.0,15825.12,1.74
