"CO=HC, H=3",,\rho=50,,,,\rho=75,,,,\rho=100,,,,\rho=300,,,
Instance,K,sHGS,avgHGS,tHGS,BST,sHGS,avgHGS,tHGS,BST,sHGS,avgHGS,tHGS,BST,sHGS,avgHGS,tHGS,BST
1n10_1,2,4249.37,4318.71,3.0,0.0,4249.37,4317.96,3.0,0.0,4248.38,4484.3,3.0,0.0,4249.37,4323.94,4.0,1.0
1n10_2,3,4722.97,4993.07,5.0,1.0,4722.97,4722.97,5.0,0.0,4722.42,4722.97,5.0,1.0,4722.97,4722.97,6.0,1.0
1n10_3,4,5235.73,5712.69,6.0,0.0,5235.73,5235.73,6.0,0.0,5235.73,5235.73,5.0,0.0,5235.73,5235.73,7.0,0.0
1n10_4,5,5713.11,5719.69,22.0,14.0,5711.51,5719.69,18.0,8.0,5711.99,5716.33,13.0,5.0,5711.35,5716.33,22.0,12.0
1n15_1,2,4802.48,5808.24,7.0,2.0,4802.48,5422.1,4.0,0.0,4802.48,5009.81,4.0,0.0,4802.48,5004.42,5.0,0.0
1n15_2,3,5249.72,5845.62,7.0,1.0,5255.22,5383.7,6.0,1.0,5260.72,5393.59,6.0,1.0,5288.89,5366.53,8.0,2.0
1n15_3,4,5646.04,5862.59,11.0,1.0,5659.02,6057.94,10.0,2.0,5658.34,5734.95,11.0,1.0,5659.02,5683.4,11.0,2.0
1n15_4,5,6029.13,6142.32,14.0,3.0,6071.51,6266.6,17.0,7.0,6071.3,6164.16,16.0,4.0,6071.51,6086.28,17.0,6.0
1n20_1,2,6195.39,6715.04,12.0,6.0,6205.14,6862.89,12.0,6.0,6214.89,6434.18,9.0,4.0,6244.26,6564.23,12.0,6.0
1n20_2,3,6789.49,7199.24,21.0,14.0,6817.27,7234.8,23.0,16.0,6823.77,7414.12,14.0,9.0,6875.77,7022.1,13.0,6.0
1n20_3,4,7323.9,7696.56,19.0,11.0,7412.52,7943.66,20.0,11.0,7453.63,7623.2,17.0,8.0,7454.79,7463.2,26.0,17.0
1n20_4,5,7724.13,8127.23,16.0,6.0,7720.47,7833.63,20.0,10.0,7724.13,8095.96,11.0,2.0,7724.13,7923.4,15.0,5.0
1n25_1,2,7055.08,7444.09,21.0,14.0,7055.08,7599.09,12.0,6.0,7053.13,7629.84,13.0,7.0,7055.08,7497.04,17.0,10.0
1n25_2,3,7393.94,8170.36,29.0,22.0,7410.44,7777.78,30.0,23.0,7425.73,7743.83,21.0,14.0,7428.98,7687.61,29.0,21.0
1n25_3,4,7816.48,7967.53,26.0,18.0,7821.26,7894.25,22.0,14.0,7818.93,8121.83,21.0,13.0,7821.26,7874.91,20.0,12.0
1n25_4,5,8005.08,8161.24,26.0,15.0,8005.08,8186.38,27.0,15.0,8004.24,8255.81,18.0,8.0,8005.08,8060.96,23.0,13.0
1n30_1,2,10054.2,10496.1,24.0,13.0,10054.2,10585.3,20.0,10.0,10052.8,10557.8,21.0,11.0,10054.2,10492.9,19.0,9.0
1n30_2,3,10513.2,11038.0,36.0,26.0,10513.2,11336.5,38.0,25.0,10511.8,10976.7,31.0,21.0,10513.2,10689.2,39.0,27.0
1n30_3,4,10949.5,11714.9,38.0,25.0,10960.1,11660.0,42.0,26.0,10973.2,11780.8,32.0,18.0,11009.2,11422.3,67.0,53.0
1n30_4,5,11594.7,12022.4,48.0,29.0,11597.8,11789.2,83.0,61.0,11593.5,12021.0,43.0,25.0,11594.7,11750.5,57.0,40.0
1n35_1,2,9650.93,10262.1,37.0,27.0,9650.93,10207.7,41.0,30.0,9648.24,9831.59,33.0,22.0,9650.93,10062.5,25.0,15.0
1n35_2,3,10124.9,10381.5,63.0,51.0,10125.5,10570.4,69.0,57.0,10121.9,10262.7,47.0,35.0,10124.9,10592.2,57.0,44.0
1n35_3,4,10428.3,10719.0,35.0,21.0,10428.3,10964.3,32.0,20.0,10425.3,10860.6,68.0,55.0,10428.3,10777.0,34.0,21.0
1n35_4,5,10833.8,11355.9,66.0,50.0,10833.8,11404.7,49.0,32.0,10831.9,10963.0,47.0,31.0,10833.8,10877.4,46.0,30.0
1n40_1,2,10952.8,11335.9,57.0,43.0,10953.5,11606.6,45.0,32.0,10953.2,11263.1,66.0,52.0,10953.5,11374.2,38.0,24.0
1n40_2,3,11517.0,12082.7,37.0,23.0,11732.9,12121.5,56.0,41.0,11516.5,12087.5,41.0,26.0,11518.3,11951.3,37.0,23.0
1n40_3,4,12022.5,12378.0,49.0,32.0,12021.0,12491.9,42.0,26.0,12014.8,12464.9,57.0,41.0,12099.8,12155.3,58.0,42.0
1n40_4,5,12553.6,13589.2,63.0,42.0,12551.1,13115.7,72.0,51.0,12548.1,12714.6,58.0,38.0,12550.9,12805.7,73.0,53.0
1n45_1,2,11769.1,11913.7,11.0,0.0,11446.6,11771.6,37.0,23.0,11446.6,11769.1,40.0,26.0,11769.1,11769.1,13.0,0.0
1n45_2,3,11857.4,12301.0,53.0,35.0,11866.1,12329.7,56.0,37.0,11878.5,12365.5,32.0,17.0,11915.2,12234.8,89.0,70.0
1n45_3,4,12374.3,12911.8,73.0,52.0,12367.6,12852.0,50.0,32.0,12365.6,12724.8,61.0,43.0,12376.0,12677.6,75.0,57.0
1n45_4,5,12848.8,13504.1,61.0,36.0,12846.2,13241.1,75.0,53.0,12845.0,13111.0,50.0,28.0,12852.0,13071.9,44.0,23.0
1n50_1,2,12130.0,12435.3,55.0,39.0,12130.0,12844.0,49.0,32.0,12128.3,12672.2,49.0,32.0,12130.0,12403.9,48.0,31.0
1n50_2,3,12764.7,13087.9,51.0,30.0,12764.7,13560.0,75.0,56.0,12763.3,13564.4,44.0,24.0,12765.1,13293.3,53.0,33.0
1n50_3,4,13384.0,13903.1,65.0,41.0,13393.5,14383.0,55.0,29.0,13391.3,14183.9,65.0,41.0,13402.7,13823.4,51.0,24.0
1n50_4,5,14051.5,14714.3,65.0,34.0,14055.6,14898.2,102.0,71.0,14048.2,14833.5,146.0,116.0,14085.3,14516.7,129.0,97.0
2n10_1,2,4437.7,4437.7,4.0,0.0,4437.7,4437.7,5.0,1.0,4437.7,4437.7,3.0,0.0,4437.7,4541.07,3.0,0.0
2n10_2,3,5100.0,5100.0,5.0,0.0,5100.0,5132.03,5.0,0.0,5100.0,5100.6,5.0,1.0,5100.0,5100.0,6.0,0.0
2n10_3,4,5753.4,5864.2,8.0,1.0,5784.65,5814.25,9.0,1.0,5815.9,5855.5,8.0,0.0,5896.77,5896.77,15.0,6.0
2n10_4,5,6304.28,6304.28,10.0,1.0,6318.9,6368.78,11.0,2.0,6318.13,6433.28,22.0,12.0,6318.9,6321.86,11.0,1.0
2n15_1,2,4931.66,5084.26,5.0,0.0,4931.66,5235.6,5.0,0.0,4931.66,5048.05,4.0,0.0,4931.66,4931.66,5.0,0.0
2n15_2,3,5150.52,5465.02,6.0,0.0,5150.52,5655.04,6.0,1.0,5150.52,5693.2,5.0,0.0,5150.52,5150.52,6.0,1.0
2n15_3,4,5784.56,5961.41,8.0,1.0,5784.56,5905.33,8.0,1.0,5784.56,6114.45,7.0,1.0,5784.56,5901.61,9.0,1.0
