"CO=LC, H=3",,\rho=50,,,,\rho=75,,,,\rho=100,,,,\rho=300,,,
Instance,K,sHGS,avgHGS,tHGS,BST,sHGS,avgHGS,tHGS,BST,sHGS,avgHGS,tHGS,BST,sHGS,avgHGS,tHGS,BST
1n10_1,2,1472.96,1472.96,1.0,0.0,1824.99,1867.91,2.0,0.0,2063.95,2148.63,3.0,0.0,2178.27,2223.26,3.0,0.0
1n10_2,3,1472.96,1472.96,2.0,0.0,2031.96,2118.24,1.0,0.0,2379.11,2425.2,5.0,2.0,2646.47,2646.47,4.0,0.0
1n10_3,4,1472.96,1472.96,2.0,0.0,2031.96,2031.96,2.0,0.0,2492.73,2572.82,3.0,0.0,3183.85,3347.12,5.0,0.0
1n10_4,5,1472.96,1472.96,2.0,0.0,2031.96,2031.96,2.0,0.0,2547.81,2547.81,3.0,0.0,3556.82,3596.97,6.0,0.0
1n15_1,2,1559.08,1599.93,6.0,3.0,1921.08,1984.43,5.0,2.0,1950.58,2364.44,6.0,2.0,2167.85,2340.35,6.0,2.0
1n15_2,3,1619.45,1655.64,4.0,1.0,2011.95,2011.95,5.0,2.0,2215.43,2439.02,4.0,0.0,2648.59,2812.11,8.0,3.0
1n15_3,4,1630.22,1630.22,3.0,0.0,2098.68,2109.36,9.0,4.0,2406.54,2485.68,10.0,4.0,2977.56,3110.25,12.0,4.0
1n15_4,5,1631.46,1631.46,4.0,0.0,2145.21,2145.21,4.0,0.0,2542.93,2542.93,5.0,0.0,3367.78,3367.78,12.0,3.0
1n20_1,2,2336.7,2404.51,8.0,3.0,2607.77,2974.98,8.0,3.0,2694.63,3211.87,11.0,6.0,2732.48,3160.15,8.0,2.0
1n20_2,3,2404.51,2536.82,3.0,0.0,2886.36,3148.34,9.0,4.0,3036.86,3592.57,8.0,4.0,3314.24,3465.79,10.0,3.0
1n20_3,4,2404.51,2404.51,4.0,0.0,3164.5,3241.81,8.0,3.0,3445.88,3734.77,9.0,4.0,3775.02,3775.02,12.0,4.0
1n20_4,5,2409.06,2409.06,5.0,0.0,3198.56,3198.56,5.0,0.0,3735.95,3832.16,10.0,3.0,4292.22,4309.13,28.0,19.0
1n25_1,2,2560.17,2659.44,6.0,2.0,2656.11,3051.41,13.0,8.0,2738.91,2773.24,12.0,7.0,2989.48,3223.96,11.0,4.0
1n25_2,3,2698.51,2746.13,4.0,0.0,2972.29,3264.0,12.0,7.0,3079.09,3100.18,12.0,6.0,3308.19,3570.58,12.0,4.0
1n25_3,4,2785.85,2980.85,5.0,0.0,3131.34,3444.24,8.0,2.0,3388.48,3429.53,13.0,5.0,3695.25,3877.52,23.0,15.0
1n25_4,5,2814.78,2814.78,6.0,0.0,3295.48,3592.36,15.0,7.0,3540.04,3591.49,23.0,14.0,3922.89,3999.34,24.0,13.0
1n30_1,2,3407.81,3470.8,14.0,7.0,3490.35,4406.47,15.0,7.0,3530.1,4859.74,17.0,8.0,3567.06,4050.08,20.0,10.0
1n30_2,3,3621.71,3774.56,16.0,9.0,3901.43,4260.54,19.0,9.0,4013.46,4077.75,32.0,21.0,4015.07,4015.07,32.0,22.0
1n30_3,4,3810.7,3904.16,14.0,6.0,4248.23,4601.61,60.0,51.0,4344.8,4935.02,25.0,13.0,4416.45,4661.98,33.0,20.0
1n30_4,5,3911.33,3911.33,19.0,11.0,4654.28,4956.05,28.0,18.0,4749.03,5259.26,39.0,27.0,4989.86,5327.99,56.0,39.0
1n35_1,2,3292.86,3528.93,22.0,14.0,3326.25,3620.77,21.0,11.0,3345.75,3583.71,22.0,11.0,3377.3,3528.37,27.0,17.0
1n35_2,3,3491.79,3689.28,24.0,15.0,3663.8,4003.68,50.0,39.0,3731.05,4516.29,30.0,17.0,3860.28,4024.88,31.0,19.0
1n35_3,4,3633.88,3795.12,24.0,13.0,4013.35,4447.59,29.0,17.0,4128.65,4849.47,34.0,21.0,4139.56,4566.0,33.0,20.0
1n35_4,5,3782.19,4004.71,28.0,18.0,4321.62,4491.52,39.0,29.0,4460.9,4841.34,31.0,19.0,4541.35,4884.24,46.0,30.0
1n40_1,2,3608.92,4154.06,23.0,13.0,4023.56,4951.08,23.0,13.0,3711.23,4450.08,36.0,24.0,3725.05,4291.69,28.0,16.0
1n40_2,3,4110.83,4110.83,48.0,21.0,4306.89,4696.55,48.0,35.0,4265.76,4595.75,53.0,38.0,4266.28,4604.53,69.0,55.0
1n40_3,4,4295.5,4295.5,23.0,10.0,4477.92,4979.49,32.0,20.0,4739.6,5349.18,50.0,34.0,4856.76,5222.59,64.0,49.0
1n40_4,5,4505.73,4505.73,51.0,36.0,4824.27,5017.87,31.0,18.0,5116.62,5234.23,52.0,35.0,5299.45,5590.42,57.0,39.0
1n45_1,2,3708.02,3958.38,27.0,17.0,3748.72,4415.1,33.0,22.0,3775.18,3912.71,36.0,24.0,3793.5,4080.92,28.0,16.0
1n45_2,3,4001.1,4502.63,34.0,22.0,4117.38,5356.75,40.0,28.0,4142.18,4412.83,33.0,19.0,4189.21,4661.85,40.0,23.0
1n45_3,4,4319.3,4667.77,36.0,23.0,4593.36,5224.2,52.0,35.0,4628.91,4916.98,42.0,25.0,4707.66,5036.26,51.0,34.0
1n45_4,5,4770.37,4770.37,26.0,11.0,4973.59,5497.74,53.0,36.0,5065.92,5903.48,83.0,63.0,5187.08,5600.23,74.0,53.0
1n50_1,2,4035.48,4917.45,51.0,39.0,4095.48,6213.26,38.0,25.0,4137.23,5073.01,36.0,22.0,4275.63,4613.69,39.0,18.0
