"CO=LC,H=6",,\rho=50,,,\rho=75,,,\rho=100,,,\rho=300,,
Instance,Veh,sHGS,tHGS,BST,sHGS,tHGS,BST,sHGS,tHGS,BST,sHGS,tHGS,BST
1n50_1,2,10357.1,174.0,110.0,10657.6,389.0,341.0,10649.8,391.0,329.0,10855.6,309.0,253.0
1n50_2,3,11873.9,417.0,344.0,13435.4,363.0,299.0,12364.6,358.0,282.0,12569.1,432.0,346.0
1n50_3,4,13572.7,497.0,432.0,15479.8,841.0,776.0,14533.3,464.0,370.0,14635.5,983.0,856.0
1n50_4,5,15084.0,468.0,414.0,16992.0,462.0,382.0,16469.7,494.0,401.0,16848.5,411.0,258.0
1n100_1,2,14888.0,755.0,638.0,15813.1,861.0,705.0,15251.5,900.0,780.0,15373.6,855.0,723.0
1n100_2,3,15804.5,2034.0,1879.0,16657.7,978.0,751.0,16315.4,679.0,510.0,16310.8,1227.0,1052.0
1n100_3,4,17103.4,640.0,443.0,17331.8,1101.0,834.0,17325.8,1138.0,938.0,17561.2,775.0,566.0
1n100_4,5,18241.8,1080.0,877.0,19298.1,1367.0,1053.0,18723.7,1343.0,1111.0,18859.1,1806.0,1559.0
1n200_1,2,22710.1,2400.0,2255.7,23987.3,2400.0,1899.9,22929.9,2921.0,2620.0,23026.4,2400.0,2151.5
1n200_2,3,23396.7,2400.0,2189.6,23996.1,2400.0,1852.5,23640.8,2060.0,1716.0,23696.7,2400.0,2136.4
1n200_3,4,24134.6,2400.0,2128.7,24661.0,2400.0,1878.5,24291.4,2807.0,2403.0,24457.4,2277.0,1877.0
1n200_4,5,24965.2,2400.0,2158.8,25447.2,2400.0,1723.4,25284.4,3055.0,2499.0,25440.0,2400.0,2061.9
2n50_1,2,10846.0,392.0,334.0,11340.8,305.0,253.0,11110.4,308.0,243.0,11413.4,296.0,218.0
2n50_2,3,12577.4,422.0,365.0,13604.0,307.0,235.0,13250.8,285.0,204.0,13380.1,370.0,274.0
2n50_3,4,14010.2,451.0,392.0,15239.7,300.0,230.0,15019.4,303.0,214.0,15454.1,437.0,315.0
2n50_4,5,15346.3,513.0,455.0,17295.8,451.0,378.0,16821.6,682.0,593.0,17460.2,496.0,354.0
2n100_1,2,13913.2,1516.0,1385.0,14659.7,1134.0,961.0,14180.1,1556.0,1435.0,14295.9,1138.0,983.0
2n100_2,3,14769.1,1151.0,969.0,15223.7,872.0,637.0,15033.0,925.0,748.0,15231.2,1096.0,946.0
2n100_3,4,15864.5,727.0,526.0,16245.3,941.0,687.0,16070.0,1342.0,1144.0,16157.3,1071.0,882.0
2n100_4,5,17047.2,1814.0,1526.0,17260.0,1379.0,1094.0,17325.9,2040.0,1794.0,17420.5,1601.0,1343.0
2n200_1,2,22819.6,2400.0,2184.2,23607.6,2179.0,1580.0,23133.9,3631.0,3349.0,23266.5,2400.0,2120.2
2n200_2,3,23658.8,1721.0,1338.0,24172.8,2400.0,1725.8,23817.6,3106.0,2747.0,24008.1,2400.0,2123.8
2n200_3,4,24362.6,2400.0,2134.2,24836.5,2400.0,1609.4,24878.6,2188.0,1774.0,24825.2,2400.0,2148.1
2n200_4,5,25650.8,2400.0,2157.3,26590.0,2400.0,1742.2,25825.0,4107.0,3646.0,26037.8,2400.0,1980.1
3n50_1,2,10067.1,235.0,189.0,10599.1,357.0,302.0,10536.1,218.0,160.0,10782.0,414.0,342.0
3n50_2,3,11053.3,584.0,506.0,11765.3,579.0,513.0,11653.4,377.0,291.0,11940.1,286.0,187.0
3n50_3,4,12078.0,639.0,570.0,12962.6,291.0,222.0,13122.3,431.0,334.0,13442.4,406.0,274.0
3n50_4,5,13184.3,626.0,552.0,14413.4,478.0,397.0,14556.8,489.0,413.0,14935.5,685.0,512.0
3n100_1,2,14936.6,782.0,663.0,15452.6,1075.0,902.0,15269.3,907.0,791.0,15324.8,1005.0,887.0
3n100_2,3,16328.4,2163.0,1997.0,16940.2,1319.0,1079.0,16646.7,784.0,623.0,16696.5,664.0,485.0
3n100_3,4,18085.1,713.0,552.0,18799.5,1192.0,891.0,18285.5,1590.0,1380.0,18472.7,953.0,736.0
3n100_4,5,19908.9,676.0,454.0,22121.6,1077.0,794.0,20328.6,1047.0,782.0,20375.0,1093.0,804.0
3n200_1,2,22532.9,2400.0,2237.0,23489.5,2400.0,1847.7,22733.0,2569.0,2263.0,22859.7,2096.0,1788.0
3n200_2,3,23724.6,2400.0,2068.2,24921.6,2400.0,1787.0,23797.0,3150.0,2749.0,23959.1,2400.0,2015.2
3n200_3,4,25085.2,2400.0,2146.3,26194.4,2400.0,1683.0,25574.6,3180.0,2784.0,25682.4,2400.0,2124.5
3n200_4,5,27295.3,1980.0,1371.0,29136.3,2400.0,1703.8,27247.5,4187.0,3687.0,27227.4,2400.0,1953.2
4n50_1,2,10303.4,227.0,160.0,10646.9,420.0,368.0,10561.5,499.0,442.0,10788.5,384.0,322.0
4n50_2,3,11951.3,323.0,249.0,13666.2,537.0,478.0,12617.3,385.0,301.0,12722.6,274.0,184.0
4n50_3,4,13535.1,438.0,364.0,15009.6,414.0,338.0,14832.7,259.0,158.0,15141.2,658.0,532.0
4n50_4,5,14833.0,370.0,312.0,16883.3,323.0,249.0,16712.5,537.0,442.0,17289.9,469.0,303.0
4n100_1,2,13942.6,875.0,745.0,14518.7,606.0,425.0,14333.1,812.0,686.0,14318.4,1099.0,988.0
4n100_2,3,14654.3,1230.0,1101.0,14986.0,919.0,727.0,14911.9,825.0,704.0,14945.7,1003.0,887.0
4n100_3,4,15540.7,1160.0,1002.0,15762.7,1263.0,1046.0,15730.8,1306.0,1147.0,15730.3,1024.0,850.0
4n100_4,5,16307.3,1437.0,1277.0,16818.9,1626.0,1336.0,16687.6,1662.0,1451.0,16739.3,1875.0,1657.0
4n200_1,2,22749.9,2400.0,2187.0,23738.4,2400.0,1953.0,22997.7,3200.0,2904.0,23020.9,2309.0,1993.0
4n200_2,3,23300.8,2400.0,2238.7,23772.5,2400.0,1937.7,23535.7,2214.0,1916.0,23513.0,2400.0,2220.5
4n200_3,4,24279.6,2400.0,2194.6,24662.2,2400.0,1754.2,24299.1,3498.0,3065.0,24375.0,2400.0,1834.4
4n200_4,5,25004.4,2400.0,2014.4,25942.1,2400.0,1643.9,25443.2,3501.0,2956.0,25362.3,2400.0,2106.8
5n50_1,2,10164.7,297.0,239.0,11138.0,242.0,194.0,10400.4,250.0,179.0,10532.2,346.0,274.0
5n50_2,3,11526.9,517.0,446.0,13212.6,341.0,282.0,12139.5,450.0,361.0,12231.5,406.0,307.0
5n50_3,4,12853.4,420.0,351.0,14708.4,415.0,344.0,14075.5,230.0,128.0,14134.5,322.0,191.0
5n50_4,5,14132.5,450.0,376.0,15708.5,264.0,180.0,15733.8,378.0,283.0,15958.1,913.0,761.0
5n100_1,2,14505.2,1062.0,948.0,15501.7,1222.0,1050.0,14852.5,847.0,719.0,14934.1,770.0,636.0
5n100_2,3,15300.9,1097.0,913.0,15750.2,741.0,508.0,15745.4,804.0,650.0,15683.1,1112.0,965.0
5n100_3,4,16354.2,1549.0,1352.0,16740.4,1614.0,1328.0,16634.1,957.0,771.0,16718.6,1038.0,856.0
5n100_4,5,17511.3,1280.0,1089.0,17879.0,1152.0,896.0,17655.3,1631.0,1379.0,17787.2,1541.0,1317.0
5n200_1,2,22515.6,2400.0,2146.5,23655.8,2400.0,2101.6,22837.8,2581.0,2264.0,23028.4,2075.0,1753.0
5n200_2,3,23482.2,2400.0,2063.0,24307.2,2400.0,1839.7,23908.8,3042.0,2660.0,23986.5,2400.0,2257.5
5n200_3,4,24993.5,2400.0,2138.0,25769.6,2400.0,1676.0,25400.1,2708.0,2290.0,25246.4,2400.0,2027.8
5n200_4,5,26657.7,2400.0,1867.5,28018.9,2400.0,1337.9,26829.4,3957.0,3430.0,26831.7,2400.0,2113.4
6n100_1,2,14823.9,1210.0,1077.0,15806.6,608.0,429.0,14993.4,911.0,789.0,15211.8,927.0,781.0
6n100_2,3,16384.0,707.0,538.0,16936.9,1265.0,1041.0,16649.3,684.0,510.0,16866.6,864.0,676.0
6n100_3,4,17919.7,802.0,637.0,19373.9,1188.0,914.0,18341.9,1651.0,1434.0,18575.3,1211.0,966.0
6n100_4,5,19905.1,636.0,437.0,21066.5,994.0,716.0,20659.0,719.0,490.0,20737.8,1374.0,1078.0
6n200_1,2,22229.8,2400.0,2140.0,23101.9,2400.0,1854.1,22335.4,3321.0,2970.0,22442.6,2400.0,2139.7
6n200_2,3,23257.0,2400.0,2102.7,23856.5,2400.0,1877.5,23502.6,2293.0,1898.0,23449.5,2400.0,2157.2
6n200_3,4,24553.3,2400.0,2099.4,25242.2,2400.0,1738.9,24798.2,3797.0,3403.0,24640.4,2400.0,2042.0
6n200_4,5,26345.5,2015.0,1388.0,26995.0,2400.0,1640.6,26280.8,3030.0,2463.0,26274.0,2400.0,2113.2
6n50_1,2,10577.4,440.0,377.0,11416.9,389.0,337.0,10876.4,340.0,269.0,11021.4,295.0,223.0
