Instance  (n=10),UB,t,UB.1,t,LB,UB.2,t,Best,,sHGS,tHGS,BST,CostAvg,Gapb,GapAvg
R_C_N10_Q8_T6,7378.79,0,5974.75,1800.0,5970.01,5970.59,16.0,5970.59,,5971.17,793.0,421.0,5972.77,0.01,0.04
R_C_N10_Q8_T9,26506.3,0,19177.5,1800.0,19155.1,19162.4,7200.0,19162.4,,19165.8,7200.0,6233.0,19170.33,0.02,0.04
R_C_N10_Q8_T12,16663.7,0,9957.34,1800.0,9879.11,9887.2,7200.0,9887.2,,9886.51,12408.0,8143.0,9887.11,-0.01,-0.0
R_C_N10_Q18_T6,3034.1,0,2008.91,1800.0,2006.73,2008.91,7200.0,2008.91,,2008.91,2264.0,1726.0,2015.76,0.0,0.34
R_C_N10_Q18_T9,7101.85,0,5378.35,1800.0,5348.75,5363.36,7200.0,5363.36,,5368.22,36000.0,27477.0,5369.81,0.09,0.12
R_C_N10_Q18_T12,11167.3,0,10039.7,1800.0,10001.0,10007.0,7200.0,10007.0,,10008.1,17789.0,12955.0,10049.65,0.01,0.43
R_C_N10_Q38_T6,4065.59,0,2396.66,1800.0,2334.55,2396.66,7200.0,2396.66,,2396.66,754.0,500.0,2398.54,0.0,0.08
R_C_N10_Q38_T9,10382.0,0,6595.08,1800.0,6569.73,6579.44,7200.0,6579.44,,6583.19,24159.0,12926.0,6618.65,0.06,0.6
R_C_N10_Q38_T12,5132.08,0,3274.09,1800.0,3207.78,3245.02,7200.0,3245.02,,3248.52,36000.0,28437.0,3260.05,0.11,0.46
U_C_N10_Q8_T6,4203.77,0,2740.34,1800.0,2734.91,2737.54,7200.0,2737.54,,2737.54,22026.0,13504.0,2737.64,0.0,0.0
U_C_N10_Q8_T9,1451.46,0,761.47,1800.0,755.78,760.09,7200.0,760.09,,760.09,7200.0,1975.0,760.44,0.0,0.05
U_C_N10_Q8_T12,2780.42,0,2365.05,1800.0,2344.25,2347.97,7200.0,2347.97,,2348.2,36000.0,26730.0,2348.67,0.01,0.03
U_C_N10_Q18_T6,2241.91,0,1349.57,1800.0,1324.16,1330.42,7200.0,1330.42,,1330.42,26593.0,19396.0,1331.2,0.0,0.06
U_C_N10_Q18_T9,3368.29,0,2392.42,1800.0,2378.9,2386.55,7200.0,2386.55,,2388.78,14377.0,8443.0,2405.46,0.09,0.79
U_C_N10_Q18_T12,2252.8,0,1608.34,1800.0,1573.25,1585.2,7200.0,1585.2,,1595.5,7204.0,5263.0,1600.98,0.65,1.0
U_C_N10_Q38_T6,837.5,0,392.74,17.0,391.43,392.74,7200.0,392.74,,392.75,259.0,235.0,479.67,0.0,22.13
U_C_N10_Q38_T9,1473.92,0,974.4,1800.0,967.23,972.35,7200.0,972.35,,972.35,1826.0,1323.0,973.14,0.0,0.08
U_C_N10_Q38_T12,2100.12,0,1445.75,1800.0,1423.43,1440.85,7200.0,1440.85,,1441.25,5846.0,4594.0,1452.88,0.03,0.83
R_R_N10_Q8_T6,13249.4,0,7306.35,1800.0,7218.91,7219.63,404.0,7219.63,,7219.63,442.0,322.0,7219.89,0.0,0.0
R_R_N10_Q8_T9,19075.7,0,14279.6,1800.0,14221.3,14222.5,38.0,14222.5,,14222.5,3449.0,765.0,14222.65,0.0,0.0
R_R_N10_Q8_T12,30074.0,0,24773.2,1800.0,24734.9,24736.6,44.0,24736.6,,24736.3,7200.0,5274.0,24736.92,-0.0,0.0
R_R_N10_Q18_T6,9608.84,0,6701.7,1800.0,6615.15,6667.0,7200.0,6667.0,,6676.64,7200.0,6269.0,6729.92,0.14,0.94
R_R_N10_Q18_T9,7930.06,0,6041.41,1800.0,5934.52,5950.01,7200.0,5950.01,,5950.01,1290.0,369.0,5950.16,0.0,0.0
R_R_N10_Q18_T12,18126.8,0,15555.2,1800.0,15529.9,15531.7,7200.0,15531.7,,15532.1,18000.0,13763.0,15534.67,0.0,0.02
R_R_N10_Q38_T6,6820.39,0,4772.8,1800.0,4693.04,4772.8,7200.0,4772.8,,4772.8,105.0,52.0,4846.14,0.0,1.54
R_R_N10_Q38_T9,8627.35,0,6132.67,1800.0,5906.97,5959.9,7200.0,5959.9,,5959.9,6764.0,5319.0,5965.41,0.0,0.09
R_R_N10_Q38_T12,10626.2,0,7587.88,1800.0,6930.6,7366.15,7200.0,7366.15,,7365.85,36000.0,32446.0,7395.6,-0.0,0.4
U_R_N10_Q8_T6,2166.93,0,1553.46,1800.0,1551.68,1551.68,6.0,1551.68,,1551.68,296.0,96.0,1551.68,0.0,0.0
U_R_N10_Q8_T9,4190.46,0,2572.59,1800.0,2560.31,2562.7,7200.0,2562.7,,2562.7,7200.0,4544.0,2562.92,0.0,0.01
U_R_N10_Q8_T12,5160.4,0,2607.86,1800.0,2601.48,2601.74,2745.0,2601.74,,2601.74,2181.0,51.0,2601.74,0.0,0.0
U_R_N10_Q18_T6,1733.17,0,1341.72,1800.0,1321.26,1321.38,22.0,1321.38,,1321.38,300.0,148.0,1330.56,0.0,0.69
U_R_N10_Q18_T9,2771.31,0,2146.03,1800.0,2045.3,2087.51,7200.0,2087.51,,2087.36,4005.0,3168.0,2114.99,-0.01,1.32
U_R_N10_Q18_T12,2478.89,0,1810.38,1800.0,1787.96,1791.45,7200.0,1791.45,,1791.74,7200.0,4318.0,1794.85,0.02,0.19
U_R_N10_Q38_T6,1229.15,0,822.15,1800.0,799.41,822.15,7200.0,822.15,,822.15,209.0,169.0,830.03,0.0,0.96
U_R_N10_Q38_T9,1929.21,0,1135.59,1800.0,1088.9,1125.8,7200.0,1125.8,,1121.4,7200.0,4465.0,1136.6,-0.39,0.96
U_R_N10_Q38_T12,2301.88,0,1353.49,1800.0,1271.05,1319.16,7200.0,1319.16,,1314.71,9128.0,7393.0,1321.37,-0.34,0.17
R_RC_N10_Q8_T6,14746.0,0,10773.7,1800.0,10762.0,10763.1,96.0,10763.1,,10763.1,7200.0,3959.0,10773.17,0.0,0.09
R_RC_N10_Q8_T9,19977.1,0,15627.0,1800.0,15613.1,15614.5,45.0,15614.5,,15613.9,7200.0,6806.0,15615.05,-0.0,0.0
R_RC_N10_Q8_T12,35659.6,0,25085.6,1800.0,24873.2,25054.5,7200.0,25054.5,,25053.9,7200.0,6204.0,25054.36,-0.0,-0.0
R_RC_N10_Q18_T6,5847.09,0,3907.04,1800.0,3895.65,3896.01,29.0,3896.01,,3896.01,7200.0,1497.0,3911.35,0.0,0.39
R_RC_N10_Q18_T9,11346.4,0,8317.24,1800.0,8224.23,8238.37,7200.0,8238.37,,8239.68,10634.0,8099.0,8263.84,0.02,0.31
R_RC_N10_Q18_T12,13658.7,0,12196.21,1800.0,12143.8,12157.9,7200.0,12157.9,,12157.9,18000.0,14988.0,12171.3,0.0,0.11
R_RC_N10_Q38_T6,6531.75,0,3519.75,1800.0,3516.06,3516.38,39.0,3516.38,,3516.38,155.0,155.0,3549.22,0.0,0.93
